pool_index,commit,subject,audited_family
81,85a7555575a0e48f9b73db310d0d762a08a46d63,"ASoC: wm_adsp: remove ""ctl"" from list on error in wm_adsp_create_control()",publish_before_init
82,abfaf0eee97925905e742aa3b0b72e04a918fa9e,drm/amdkfd: Check for null pointer after calling kmemdup,guarded_nullable_use
83,ab42b48f32d4c766420c3499ee9c0289b7028182,staging: comedi: gsc_hpdi: check dma_alloc_coherent() return value,guarded_nullable_use
84,28dd788382c43b330480f57cd34cde0840896743,drivers/amd/pm: fix a use-after-free in kv_parse_power_table,use_after_release
85,a0130d682222ae21afc395aead7cd2d87e1a8358,net: ibm: emac: Fix use-after-free during device removal,use_after_release
86,e1686ca81dbf3edbde589b7daf312b45cbf76e03,of: reserved_mem: avoid post-init UAF when alloc_reserved_mem_array() fails,use_after_release
87,2c1c805c65fb7dc7524e20376d6987721e73a0b1,fbdev: fix use-after-free in store_modes(),use_after_release
88,a260bd22a355bcdb74cedac6ab9b10739cd2c62c,media: mc: fix potential use-after-free in media_request_alloc(),use_after_release
89,541dfb49dcb80c2509e030842de77adfb77820f5,hwmon: (emc2305) fix double put in emc2305_probe_childs_from_dt,double_action
90,7cb1c5b32a2bfde961fff8d5204526b609bcb30a,staging: most: video: avoid double free on video register failure,double_action
91,6d827ade51a24e18d81afb9f32756d339520a14c,crypto: amlogic - avoid double cleanup in meson_crypto_probe(),double_action
92,266d3dd8b757b48a576e90f018b51f7b7563cc32,cpufreq: pcc: fix use-after-free and double free in _OSC evaluation,double_action
93,d189f224308c8ac3feeea8e442c99922bd18f1b2,NFS: Prevent resource leak in nfs_alloc_server(),missing_release
94,a440c17869ecd71da0f295b62868fc742d09a8ba,ALSA: usb-audio: Update US-16x08 EQ/comp shadow state after successful writes,publish_before_init
95,1aec30021edd410b986c156f195f3d23959a9d11,ext4: publish jinode after initialization,publish_before_init
96,d3366a04770eea807f2826cbdb96934dd8c9bf79,Input: uinput - zero-initialize uinput_ff_upload_compat to avoid info leak,uninitialized_use
97,da11e6a30e0bb8e911288bdc443b3dc8f6a7cac7,fbdev: imxfb: Check fb_add_videomode to prevent null-ptr-deref,guarded_nullable_use
98,b0b73329ebeeb727913f07b5b6bb85e66e03d156,cifs: Fix null-ptr-deref by static initializing global lock,uninitialized_use
99,930a9a6ee8e7ffa20af4bffbfc2bbd21d83bf81c,f2fs: fix to avoid NULL pointer dereference in f2fs_check_quota_consistency(),guarded_nullable_use
100,a51f025b5038abd3d22eed2ede4cd46793d89565,comedi: pcl818: fix null-ptr-deref in pcl818_ai_cancel(),guarded_nullable_use
